time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7
82485680,175,271,209,201,102,128,216
82519013,165,220,178,202,101,134,217
82552346,162,197,197,200,99,132,216
82585679,163,230,155,198,95,135,216
82619012,170,226,238,201,106,132,215
82652345,175,236,178,199,106,130,216
82685678,165,189,145,196,105,136,216
82719011,162,174,214,210,126,136,216
82752344,157,161,162,213,180,131,216
82785677,157,154,140,208,165,128,216
82819010,182,151,138,230,140,132,216
82852343,194,164,158,245,200,128,217
82885676,178,155,137,250,158,136,216
82919009,172,219,190,222,266,134,214
82952342,183,221,199,208,187,135,216
82985675,178,236,199,201,160,133,216
83019008,207,292,197,201,121,130,217
83052341,227,267,176,205,121,131,216
83085674,203,390,287,200,181,135,217
83119007,205,398,209,194,358,149,217
83152340,186,360,295,194,252,132,215
83185673,170,386,212,188,173,130,217
83219006,164,265,203,191,176,136,216
83252339,164,225,222,189,136,135,216
83285672,165,347,184,186,112,134,216
83319005,162,277,203,197,117,138,217
83352338,162,265,202,206,215,132,216
83385671,170,343,234,238,211,141,216
83419004,163,282,215,220,278,139,216
83452337,161,297,195,202,406,139,217
83485670,227,331,215,310,333,147,216
83519003,201,269,169,265,394,144,217
83552336,238,298,173,301,274,135,216
83585669,194,219,152,340,272,144,220
83619002,254,347,228,533,248,141,216
83652335,201,244,171,696,394,141,216
83685668,212,291,312,714,264,149,216
83719001,180,218,211,837,206,138,217
83752334,200,313,246,605,186,146,217
83785667,178,263,180,479,133,137,216
83819000,167,291,207,524,152,146,217
83852333,161,224,169,354,121,139,216
83885666,159,252,171,270,113,133,215
83918999,161,260,141,237,108,144,216
83952332,162,287,201,218,105,134,216
83985665,158,307,174,206,100,134,216
84018998,156,234,169,201,95,147,216
84052331,160,304,218,193,103,135,217
84085664,157,274,206,195,95,135,216
84118997,158,329,227,194,116,139,216
84152330,155,257,230,195,106,132,216
84185663,160,276,199,192,97,150,216
84218996,158,278,215,192,91,135,217
84252329,159,238,187,192,92,130,216
84285662,161,285,218,190,89,138,216
84318995,163,253,175,191,92,132,217
84352328,159,275,181,189,87,128,215
84385661,158,225,172,190,92,129,213
84418994,162,331,209,186,89,130,214
84452327,161,310,187,188,89,129,216
84485660,162,248,168,188,91,127,216
84518993,181,275,247,188,87,127,217
84552326,168,232,181,186,90,125,216
84585659,174,293,177,186,89,128,218
84618992,164,237,200,188,87,125,216
84652325,162,258,182,187,80,130,217
84685658,160,214,149,188,89,127,215
84718991,166,227,231,187,86,131,216
84752324,165,281,203,187,92,130,216
84785657,188,399,300,187,91,129,216
84818990,177,299,298,188,94,128,216
84852323,177,432,273,185,92,130,215
84885656,167,305,252,187,98,129,216
84918989,171,384,294,186,94,137,216
84952322,163,327,210,191,95,133,217
84985655,186,396,305,195,102,136,216
85018988,170,276,204,190,94,129,217
85052321,165,305,281,187,96,130,216
85085654,162,294,213,193,111,130,215
85118987,164,361,241,192,105,129,215
85152320,161,274,227,192,107,137,215
85185653,187,342,272,193,113,131,217
85218986,175,297,216,191,107,128,216
85252319,177,302,200,189,106,133,216
